run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
ERR7434625	ERP133481	SAMEA11322557	ERS8967398	ERX7004330	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DHX30_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	249087528	31385028528	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DHX30_p	E-MTAB-11202:DHX30_	9496389625;9949013341	24b019e6ffd7952552e26cb758c197fe;d459bd2eeb8673d51d1fbc1fdeb573c7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434625/ERR7434625_2.fastq.gz	9172538600;9621860801	d106c61fc527c440fd328ddd3a5bdf6c;3fcedcaa6e4a412736a159e8e1a51276	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434625/DHX30_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434625/DHX30_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434625/DHX30_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434625/DHX30_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434625/DHX30_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434625/DHX30_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DHX30	ArrayExpress	DHX30		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/005/ERR7434625.bam	18665019335	be8a6a2e3c4354ecbfe6e460b420d504
ERR7434583	ERP133481	SAMEA11322515	ERS8967356	ERX7004288	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	CHERP_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	217958916	27462823416	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:CHERP_p	E-MTAB-11202:CHERP_	7856257531;7806115864	1e669242a44be1320c4a588581d580c2;91407e7519349d984165747555350b1f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434583/ERR7434583_2.fastq.gz	7569618751;7519294015	e2b65acba5e7f075da1f74e848f89ff2;98190f23f5ab16152fc0c6d9e8467804	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434583/CHERP_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434583/CHERP_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434583/CHERP_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434583/CHERP_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434583/CHERP_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434583/CHERP_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:CHERP	ArrayExpress	CHERP		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/003/ERR7434583.bam	14810088218	d524aabd4091934ffd90b98ef1c451f1
ERR7434627	ERP133481	SAMEA11322559	ERS8967400	ERX7004332	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DHX33_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	286007524	36036948024	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DHX33_p	E-MTAB-11202:DHX33_	10606279403;10831352295	493f56ae068e44a1cd2ebff4c6575dde;b993d61f7161a2420e230211ddeb336b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434627/ERR7434627_2.fastq.gz	10245186347;10468470893	72661773710c8f189e1cc454c37c8300;d894b468d70aae19e3ff5e08e8c2ddac	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434627/DHX33_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434627/DHX33_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434627/DHX33_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434627/DHX33_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434627/DHX33_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434627/DHX33_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DHX33	ArrayExpress	DHX33		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/007/ERR7434627.bam	20489211628	d6cf158a828a759a860032b1b0ef5184
ERR7434614	ERP133481	SAMEA11322546	ERS8967387	ERX7004319	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DDX31_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	213768096	26934780096	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DDX31_p	E-MTAB-11202:DDX31_	7950337956;8371063341	4e3521ee3c52bc12487a57cefe89747b;2abd9ed2117e4b5c5f4809492be244c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434614/ERR7434614_2.fastq.gz	7677668329;8099238742	31531732f765483be341c4b062d08361;1b18ff55528dee18af8b33566d9f2695	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434614/DDX31_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434614/DDX31_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434614/DDX31_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434614/DDX31_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434614/DDX31_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434614/DDX31_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DDX31	ArrayExpress	DDX31		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/004/ERR7434614.bam	15619309707	2a9ff4f80c58f87a09590a107583b074
ERR7434584	ERP133481	SAMEA11322516	ERS8967357	ERX7004289	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	CIRBP_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	228225724	28756441224	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:CIRBP_p	E-MTAB-11202:CIRBP_	8067283834;8525227392	088be894298b5e04b9bb39788dc4905a;c0f4e934ecc6b2606cd3c165679a75fe	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434584/ERR7434584_2.fastq.gz	7761882724;8217706750	67a0552710ac9615c7afbb47882485c2;001ce31cc248f113076d35ec900e4202	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434584/CIRBP_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434584/CIRBP_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434584/CIRBP_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434584/CIRBP_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434584/CIRBP_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434584/CIRBP_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:CIRBP	ArrayExpress	CIRBP		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/004/ERR7434584.bam	15772631784	0e16cfddaf543cc34ee28ac1f2da1b02
ERR7434634	ERP133481	SAMEA11322566	ERS8967407	ERX7004339	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DIS3_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	255835002	32235210252	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DIS3_p	E-MTAB-11202:DIS3_	9683258657;10175335887	a2301e4d982ebc39b898f68802206e04;7c774e2a100ca6580e0c3fa76262a60a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434634/ERR7434634_2.fastq.gz	9352656717;9840975968	185e7157997b04215ab95db49a2fac39;4c94c26f9422e76cbf54dd5c6f4daed8	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434634/DIS3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434634/DIS3_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434634/DIS3_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434634/DIS3_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434634/DIS3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434634/DIS3_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DIS3	ArrayExpress	DIS3		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/004/ERR7434634.bam	19070770096	0093d5450120f0d671712c2f4137e204
ERR7434637	ERP133481	SAMEA11322569	ERS8967410	ERX7004342	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DNMT1_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	213957786	26958681036	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DNMT1_p	E-MTAB-11202:DNMT1_	7760994530;7909985025	360e5b303f10747fa95bc1213b22c911;8c15f27a7824ee7b584455c1df5552f1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/007/ERR7434637/ERR7434637_2.fastq.gz	7482610945;7635514265	a66e52c647728751b1913d56a0b5c3e3;a3c38f5bf756a6f68f1a6794abb92cb9	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434637/DNMT1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434637/DNMT1_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434637/DNMT1_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434637/DNMT1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434637/DNMT1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434637/DNMT1_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DNMT1	ArrayExpress	DNMT1		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/007/ERR7434637.bam	14880110725	cea23a3168ea96a0a9b144ee8c162b3d
ERR7434616	ERP133481	SAMEA11322548	ERS8967389	ERX7004321	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	DDX3X_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	204522370	25769818620	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:DDX3X_p	E-MTAB-11202:DDX3X_	7447091020;7892857004	80f1a1164616ee65c81ef2dff4bf07dd;9e3c71aaca962b97939a6968a6d62f2e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434616/ERR7434616_2.fastq.gz	7175587370;7618615760	2480bf9df1d4d4074c77f4707374ebef;16a91e7239e6a956b07fcad9a6ec190e	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434616/DDX3X_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434616/DDX3X_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434616/DDX3X_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434616/DDX3X_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434616/DDX3X_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434616/DDX3X_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:DDX3X	ArrayExpress	DDX3X		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/006/ERR7434616.bam	14637757497	89820b11ea98f8979591520a277a6979
ERR7434585	ERP133481	SAMEA11322517	ERS8967358	ERX7004290	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	CLK1_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	210325218	26500977468	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:CLK1_p	E-MTAB-11202:CLK1_	7167265128;7651232282	2a7e058838dcc785fa5958438a73a1af;004b108b014c7a70ea7b1b7c4ac9c557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434585/ERR7434585_2.fastq.gz	6893937204;7375986928	5952ac52e4c1c4fa41215a59c871086a;00e8f97039a69404482e702579e39f0d	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434585/CLK1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434585/CLK1_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434585/CLK1_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434585/CLK1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434585/CLK1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434585/CLK1_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:CLK1	ArrayExpress	CLK1		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/005/ERR7434585.bam	14043832530	4654185fe462de89b84fbe1b2c18d03c
ERR7434640	ERP133481	SAMEA11322572	ERS8967413	ERX7004345	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	EHMT2_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	244175322	30766090572	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:EHMT2_p	E-MTAB-11202:EHMT2_	8829332334;9034816074	86ff0a8edc704bada7e49b282b13cc36;a92f7f13e83ccc448ad69733696e86a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434640/ERR7434640_2.fastq.gz	8505025501;8710462193	0d486e4dca065c1ddff4e394a3105f90;a895ad54527486e0b62bcc6dc0c7463f	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434640/EHMT2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434640/EHMT2_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434640/EHMT2_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434640/EHMT2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434640/EHMT2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434640/EHMT2_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:EHMT2	ArrayExpress	EHMT2		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/000/ERR7434640.bam	16931840684	338edf848b19905253b9245408a4909b
ERR7434645	ERP133481	SAMEA11322577	ERS8967418	ERX7004350	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	ESRP2_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	225314450	28389620700	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:ESRP2_p	E-MTAB-11202:ESRP2_	8549758086;8685357755	796058193c7a680a4290fe073cefb4d7;46d583723719aba753206fde41a75c6b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/005/ERR7434645/ERR7434645_2.fastq.gz	8256072545;8391738696	8679ba54e96e6fc9d2ce5c4cca38de8b;5357956d7c18326b011dc67b8fdb6af5	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434645/ESRP2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434645/ESRP2_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434645/ESRP2_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434645/ESRP2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434645/ESRP2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434645/ESRP2_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:ESRP2	ArrayExpress	ESRP2		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/005/ERR7434645.bam	16454273106	0033a7da9346f49508f3e1335f4eb53e
